"Date","Price","Open","High","Low","Change %"
"Aug 09, 2019","70.924","70.443","70.924","70.443","0.72%"
"Aug 08, 2019","70.420","71.170","71.170","70.420","-1.02%"
"Aug 07, 2019","71.145","70.965","71.195","70.604","0.15%"
"Aug 06, 2019","71.040","70.810","71.040","70.470","0.31%"
"Aug 05, 2019","70.821","70.117","70.839","70.117","1.61%"
"Aug 02, 2019","69.700","69.230","69.700","69.210","0.99%"
"Aug 01, 2019","69.017","69.267","69.267","69.002","0.21%"
"Jul 31, 2019","68.875","68.853","68.960","68.761","0.02%"
"Jul 30, 2019","68.862","68.766","68.903","68.663","0.16%"
"Jul 29, 2019","68.755","68.900","68.965","68.705","-0.18%"
"Jul 26, 2019","68.880","69.151","69.151","68.816","-0.23%"
"Jul 25, 2019","69.041","68.992","69.078","68.885","0.09%"
"Jul 24, 2019","68.980","69.020","69.109","68.921","-0.08%"
"Jul 23, 2019","69.033","68.944","69.059","68.903","0.15%"
"Jul 22, 2019","68.930","68.955","69.070","68.880","0.10%"
"Jul 19, 2019","68.860","68.810","68.955","68.722","0.01%"
"Jul 18, 2019","68.855","68.773","69.005","68.718","0.01%"
"Jul 17, 2019","68.846","68.688","68.904","68.640","0.29%"
"Jul 16, 2019","68.650","68.540","68.770","68.521","0.15%"
"Jul 15, 2019","68.545","68.535","68.615","68.477","-0.02%"
"Jul 12, 2019","68.560","68.460","68.695","68.433","0.22%"
"Jul 11, 2019","68.410","68.414","68.495","68.280","-0.01%"
"Jul 10, 2019","68.419","68.620","68.695","68.318","-0.21%"
"Jul 09, 2019","68.565","68.665","68.858","68.513","-0.00%"
"Jul 08, 2019","68.567","68.582","68.767","68.497","0.17%"
"Jul 05, 2019","68.450","68.539","68.785","68.385","-0.11%"
"Jul 04, 2019","68.527","68.817","68.914","68.489","-0.40%"
"Jul 03, 2019","68.800","68.885","68.963","68.795","-0.13%"
"Jul 02, 2019","68.890","68.924","69.075","68.870","0.01%"
"Jul 01, 2019","68.885","68.944","69.090","68.830","-0.09%"
"Jun 30, 2019","68.951","68.950","68.951","68.950","0.00%"
"Jun 28, 2019","68.950","69.048","69.125","68.866","-0.20%"
"Jun 27, 2019","69.088","69.210","69.353","69.030","-0.23%"
"Jun 26, 2019","69.245","69.320","69.518","69.110","-0.13%"
"Jun 25, 2019","69.334","69.266","69.439","69.238","0.09%"
"Jun 24, 2019","69.273","69.629","69.630","69.264","-0.44%"
"Jun 23, 2019","69.580","69.580","69.580","69.580","-0.05%"
"Jun 21, 2019","69.615","69.755","69.760","69.504","0.14%"
"Jun 20, 2019","69.520","69.490","69.675","69.334","-0.19%"
"Jun 19, 2019","69.650","69.550","69.808","69.500","0.06%"
"Jun 18, 2019","69.610","69.868","69.891","69.609","-0.34%"
"Jun 17, 2019","69.850","69.810","69.982","69.740","0.10%"
"Jun 16, 2019","69.781","69.834","69.834","69.781","-0.08%"
"Jun 14, 2019","69.833","69.566","69.865","69.530","0.43%"
"Jun 13, 2019","69.531","69.379","69.580","69.314","0.22%"
"Jun 12, 2019","69.375","69.414","69.455","69.257","-0.01%"
"Jun 11, 2019","69.385","69.534","69.534","69.342","-0.22%"
"Jun 10, 2019","69.535","69.375","69.685","69.375","0.26%"
"Jun 09, 2019","69.355","69.390","69.390","69.355","0.00%"
"Jun 07, 2019","69.355","69.146","69.551","69.114","0.27%"
"Jun 06, 2019","69.165","69.405","69.460","69.165","-0.32%"
"Jun 05, 2019","69.385","69.334","69.423","69.178","0.14%"
"Jun 04, 2019","69.291","69.068","69.343","69.033","0.17%"
"Jun 03, 2019","69.171","69.618","69.622","69.128","-0.59%"
"Jun 02, 2019","69.580","69.580","69.580","69.580","0.00%"
"May 31, 2019","69.580","69.839","69.927","69.580","-0.35%"
"May 30, 2019","69.825","69.835","69.935","69.703","-0.03%"
"May 29, 2019","69.845","69.587","70.003","69.579","0.34%"
"May 28, 2019","69.610","69.516","69.755","69.516","0.15%"
"May 27, 2019","69.504","69.412","69.633","69.362","0.19%"
"May 26, 2019","69.370","69.370","69.370","69.370","-0.01%"
"May 24, 2019","69.380","69.699","69.811","69.377","-0.41%"
"May 23, 2019","69.665","69.666","70.065","69.375","0.02%"
"May 22, 2019","69.650","69.668","69.811","69.614","0.01%"
"May 21, 2019","69.645","69.817","69.825","69.620","0.05%"
"May 20, 2019","69.609","69.405","69.778","69.373","-0.97%"
"May 19, 2019","70.291","70.348","70.348","70.291","0.02%"
"May 17, 2019","70.280","70.220","70.288","70.067","0.21%"
"May 16, 2019","70.130","70.219","70.342","69.966","-0.17%"
"May 15, 2019","70.249","70.322","70.442","70.174","-0.12%"
"May 14, 2019","70.332","70.596","70.616","70.252","-0.34%"
"May 13, 2019","70.570","70.015","70.651","69.984","0.91%"
"May 12, 2019","69.933","69.933","69.933","69.933","-0.12%"
"May 10, 2019","70.015","70.091","70.114","69.756","-0.26%"
"May 09, 2019","70.200","69.719","70.276","69.719","0.69%"
"May 08, 2019","69.720","69.596","69.751","69.448","0.11%"
"May 07, 2019","69.645","69.421","69.646","69.285","0.38%"
"May 06, 2019","69.380","69.310","69.485","69.310","0.29%"
"May 05, 2019","69.178","69.178","69.178","69.178","0.12%"
"May 03, 2019","69.096","69.436","69.441","69.096","-0.45%"
"May 02, 2019","69.410","69.620","69.634","69.320","-0.19%"
"May 01, 2019","69.545","69.601","69.603","69.466","-0.15%"
"Apr 30, 2019","69.647","69.831","69.913","69.536","-0.24%"
"Apr 29, 2019","69.817","69.879","69.895","69.796","-0.05%"
"Apr 28, 2019","69.852","69.851","69.852","69.851","0.00%"
"Apr 26, 2019","69.850","70.173","70.247","69.810","-0.46%"
"Apr 25, 2019","70.170","70.010","70.335","69.920","0.30%"
"Apr 24, 2019","69.960","69.779","70.000","69.763","0.27%"
"Apr 23, 2019","69.770","69.630","69.840","69.540","0.10%"
"Apr 22, 2019","69.700","69.366","69.906","69.366","0.48%"
"Apr 21, 2019","69.370","69.390","69.390","69.370","-0.05%"
"Apr 19, 2019","69.407","69.416","69.429","69.355","0.02%"
"Apr 18, 2019","69.395","69.417","69.619","69.330","-0.05%"
"Apr 17, 2019","69.431","69.547","69.570","69.362","-0.14%"
"Apr 16, 2019","69.530","69.422","69.690","69.422","0.19%"
"Apr 15, 2019","69.395","69.174","69.483","69.045","0.32%"
"Apr 14, 2019","69.171","69.171","69.171","69.171","-0.03%"
"Apr 12, 2019","69.190","69.030","69.390","69.030","0.25%"
"Apr 11, 2019","69.020","69.164","69.222","68.837","-0.19%"
"Apr 10, 2019","69.150","69.258","69.366","69.090","-0.19%"
"Apr 09, 2019","69.280","69.538","69.740","69.248","-0.40%"
"Apr 08, 2019","69.555","69.335","69.720","69.335","0.56%"
"Apr 07, 2019","69.170","69.231","69.231","69.170","0.00%"
"Apr 05, 2019","69.170","68.992","69.338","68.986","0.28%"
"Apr 04, 2019","68.980","68.540","69.220","68.520","0.77%"
"Apr 03, 2019","68.450","68.730","68.835","68.390","-0.68%"
"Apr 02, 2019","68.920","69.280","69.390","68.720","-0.41%"
"Apr 01, 2019","69.205","69.356","69.424","69.185","-0.34%"
"Mar 31, 2019","69.440","69.440","69.440","69.440","0.37%"
"Mar 29, 2019","69.185","69.178","69.320","69.042","-0.01%"
"Mar 28, 2019","69.190","69.124","69.380","68.950","0.13%"
"Mar 27, 2019","69.100","69.039","69.187","68.780","0.15%"
"Mar 26, 2019","68.996","68.931","69.017","68.778","0.15%"
"Mar 25, 2019","68.890","69.159","69.176","68.795","-0.41%"
"Mar 24, 2019","69.171","69.171","69.171","69.171","0.00%"
"Mar 22, 2019","69.170","68.650","69.170","68.540","0.52%"
"Mar 21, 2019","68.810","68.565","68.810","68.510","0.03%"
"Mar 20, 2019","68.790","69.027","69.176","68.731","-0.33%"
"Mar 19, 2019","69.015","68.619","69.067","68.350","0.57%"
"Mar 18, 2019","68.625","68.959","68.959","68.431","-0.49%"
"Mar 17, 2019","68.963","68.963","68.963","68.963","0.00%"
"Mar 15, 2019","68.963","69.357","69.372","68.935","-0.58%"
"Mar 14, 2019","69.365","69.525","69.755","69.255","-0.24%"
"Mar 13, 2019","69.529","69.607","69.794","69.419","-0.14%"
"Mar 12, 2019","69.625","69.821","69.821","69.491","-0.32%"
"Mar 11, 2019","69.850","70.028","70.041","69.808","-0.21%"
"Mar 10, 2019","69.997","70.011","70.011","69.997","-0.02%"
"Mar 08, 2019","70.011","70.111","70.246","69.826","-0.15%"
"Mar 07, 2019","70.116","70.151","70.152","69.950","0.05%"
"Mar 06, 2019","70.080","70.479","70.692","70.022","-0.58%"
"Mar 05, 2019","70.490","70.963","70.975","70.448","-0.59%"
"Mar 04, 2019","70.910","70.815","70.923","70.800","-0.13%"
"Mar 03, 2019","71.000","71.000","71.000","71.000","0.00%"
"Mar 01, 2019","71.000","70.811","71.000","70.715","0.23%"
"Feb 28, 2019","70.840","71.231","71.271","70.713","-0.51%"
"Feb 27, 2019","71.200","71.010","71.491","70.929","0.34%"
"Feb 26, 2019","70.960","70.829","71.346","70.809","0.18%"
"Feb 25, 2019","70.835","71.034","71.103","70.826","-0.29%"
"Feb 24, 2019","71.041","71.035","71.041","71.035","0.01%"
"Feb 22, 2019","71.035","71.195","71.265","71.035","-0.18%"
"Feb 21, 2019","71.165","71.061","71.280","70.925","0.22%"
"Feb 20, 2019","71.010","71.320","71.344","70.933","-0.41%"
"Feb 19, 2019","71.300","71.351","71.602","71.251","-0.12%"
"Feb 18, 2019","71.386","71.335","71.537","71.326","0.08%"
"Feb 17, 2019","71.330","71.330","71.330","71.330","0.00%"
"Feb 15, 2019","71.330","71.028","71.464","71.028","0.44%"
"Feb 14, 2019","71.020","70.869","71.233","70.800","0.20%"
"Feb 13, 2019","70.875","70.541","70.880","70.397","0.48%"
"Feb 12, 2019","70.535","71.254","71.254","70.515","-0.85%"
"Feb 11, 2019","71.140","71.240","71.301","71.038","-0.03%"
"Feb 10, 2019","71.160","71.175","71.175","71.160","-0.02%"
"Feb 08, 2019","71.175","71.395","71.434","71.015","-0.18%"
"Feb 07, 2019","71.300","71.639","71.769","71.271","-0.35%"
"Feb 06, 2019","71.550","71.520","71.683","71.492","0.03%"
"Feb 05, 2019","71.530","71.714","71.812","71.528","-0.25%"
"Feb 04, 2019","71.710","71.469","71.845","71.462","0.35%"
"Feb 03, 2019","71.462","71.462","71.462","71.462","0.04%"
"Feb 01, 2019","71.435","71.115","71.485","70.952","0.67%"
"Jan 31, 2019","70.960","70.959","71.215","70.865","-0.39%"
"Jan 30, 2019","71.235","71.423","71.423","71.123","-0.22%"
"Jan 29, 2019","71.390","71.085","71.461","71.026","0.45%"
"Jan 28, 2019","71.070","70.920","71.196","70.915","0.12%"
"Jan 27, 2019","70.985","70.900","70.985","70.900","0.12%"
"Jan 25, 2019","70.900","71.040","71.250","70.890","-0.14%"
"Jan 24, 2019","71.000","71.147","71.315","70.955","-0.27%"
"Jan 23, 2019","71.190","71.240","71.370","71.115","-0.10%"
"Jan 22, 2019","71.260","71.197","71.466","71.165","0.10%"
"Jan 21, 2019","71.188","71.205","71.538","71.140","-0.07%"
"Jan 20, 2019","71.240","71.255","71.255","71.240","0.04%"
"Jan 18, 2019","71.210","71.040","71.274","70.987","0.23%"
"Jan 17, 2019","71.050","71.146","71.416","70.972","0.10%"
"Jan 16, 2019","70.980","71.110","71.265","70.934","-0.17%"
"Jan 15, 2019","71.100","70.750","71.156","70.723","0.48%"
"Jan 14, 2019","70.760","70.400","70.950","70.360","0.54%"
"Jan 13, 2019","70.380","70.380","70.380","70.380","-0.03%"
"Jan 11, 2019","70.398","70.430","70.602","70.356","-0.03%"
"Jan 10, 2019","70.420","70.530","70.655","70.318","-0.20%"
"Jan 09, 2019","70.560","70.110","70.647","70.050","0.60%"
"Jan 08, 2019","70.140","69.806","70.240","69.765","0.48%"
"Jan 07, 2019","69.803","69.532","69.953","69.255","0.39%"
"Jan 06, 2019","69.535","69.535","69.535","69.535","-0.02%"
"Jan 04, 2019","69.550","70.115","70.145","69.550","-0.80%"
"Jan 03, 2019","70.110","70.300","70.531","70.034","0.16%"
"Jan 02, 2019","70.000","69.469","70.255","69.469","0.79%"
"Jan 01, 2019","69.453","69.635","69.745","69.435","-0.17%"
"Dec 31, 2018","69.570","69.783","69.946","69.570","-0.52%"
"Dec 30, 2018","69.933","69.933","69.933","69.933","0.00%"
"Dec 28, 2018","69.933","70.151","70.151","69.885","-0.61%"
"Dec 27, 2018","70.361","70.088","70.404","70.088","0.42%"
"Dec 26, 2018","70.070","70.065","70.170","69.755","0.03%"
"Dec 25, 2018","70.050","70.050","70.050","70.050","-0.08%"
"Dec 24, 2018","70.105","70.151","70.296","69.873","-0.06%"
"Dec 23, 2018","70.150","70.140","70.150","70.140","0.01%"
"Dec 21, 2018","70.140","70.003","70.320","69.750","0.23%"
"Dec 20, 2018","69.980","70.697","70.716","69.654","-0.42%"
"Dec 19, 2018","70.278","70.356","70.481","69.862","-0.48%"
"Dec 18, 2018","70.620","71.340","71.361","70.421","-1.38%"
"Dec 17, 2018","71.610","71.900","71.900","71.496","-0.43%"
"Dec 16, 2018","71.920","71.920","71.920","71.920","0.00%"
"Dec 14, 2018","71.920","71.550","72.043","71.550","0.55%"
"Dec 13, 2018","71.530","71.858","71.858","71.456","-0.43%"
"Dec 12, 2018","71.840","72.283","72.283","71.769","-0.62%"
"Dec 11, 2018","72.290","72.507","72.507","71.692","-0.32%"
"Dec 10, 2018","72.520","71.360","72.637","71.240","1.60%"
"Dec 09, 2018","71.375","71.375","71.375","71.375","0.73%"
"Dec 07, 2018","70.860","70.570","70.860","70.453","0.01%"
"Dec 06, 2018","70.850","70.810","71.150","70.745","0.41%"
"Dec 05, 2018","70.560","70.710","70.750","70.390","0.04%"
"Dec 04, 2018","70.530","70.500","70.690","70.330","0.13%"
"Dec 03, 2018","70.440","69.880","70.470","69.880","0.96%"
"Dec 02, 2018","69.770","69.770","69.770","69.770","0.17%"
"Nov 30, 2018","69.650","69.695","69.915","69.570","-0.19%"
"Nov 29, 2018","69.780","70.110","70.145","69.780","-1.22%"
"Nov 28, 2018","70.640","70.900","70.900","70.580","-0.20%"
"Nov 27, 2018","70.785","70.815","71.030","70.710","-0.05%"
"Nov 26, 2018","70.820","70.495","70.905","70.310","0.21%"
"Nov 25, 2018","70.675","70.675","70.675","70.675","0.03%"
"Nov 23, 2018","70.655","70.675","70.675","70.655","-0.05%"
"Nov 22, 2018","70.690","71.135","71.195","70.675","-0.86%"
"Nov 21, 2018","71.305","71.415","71.415","71.305","-0.17%"
"Nov 20, 2018","71.430","71.370","71.522","71.287","-0.25%"
"Nov 19, 2018","71.610","71.925","72.082","71.550","-0.24%"
"Nov 18, 2018","71.785","71.785","71.785","71.785","-0.27%"
"Nov 16, 2018","71.980","71.995","71.995","71.715","0.09%"
"Nov 15, 2018","71.915","72.035","72.185","71.870","-0.55%"
"Nov 14, 2018","72.310","72.175","72.405","72.005","-0.42%"
"Nov 13, 2018","72.615","72.795","72.810","72.515","-0.34%"
"Nov 12, 2018","72.860","72.735","73.067","72.735","0.52%"
"Nov 11, 2018","72.480","72.480","72.480","72.480","0.00%"
"Nov 09, 2018","72.480","72.680","72.828","72.415","0.14%"
"Nov 08, 2018","72.380","72.460","72.460","72.380","-0.10%"
"Nov 07, 2018","72.450","72.950","72.950","72.450","-0.69%"
"Nov 06, 2018","72.955","72.945","73.075","72.905","-0.17%"
"Nov 05, 2018","73.080","72.808","73.135","72.757","0.23%"
"Nov 04, 2018","72.915","72.915","72.915","72.915","0.66%"
"Nov 02, 2018","72.440","73.125","73.215","72.430","-1.38%"
"Nov 01, 2018","73.455","73.855","73.873","73.455","-0.68%"
"Oct 31, 2018","73.960","73.920","74.140","73.800","0.38%"
"Oct 30, 2018","73.680","73.560","73.705","73.520","0.38%"
"Oct 29, 2018","73.400","73.355","73.525","73.323","-0.08%"
"Oct 28, 2018","73.461","73.135","73.461","73.135","0.00%"
"Oct 26, 2018","73.460","73.430","73.472","73.270","0.31%"
"Oct 25, 2018","73.230","73.350","73.380","73.165","0.00%"
"Oct 24, 2018","73.230","73.160","73.343","73.100","-0.44%"
"Oct 23, 2018","73.550","73.710","73.832","73.510","-0.01%"
"Oct 22, 2018","73.560","73.305","73.565","73.192","0.12%"
"Oct 21, 2018","73.475","73.475","73.475","73.475","0.14%"
"Oct 19, 2018","73.375","73.605","73.655","73.295","-0.21%"
"Oct 18, 2018","73.530","73.590","73.615","73.485","-0.10%"
"Oct 17, 2018","73.600","73.420","73.670","73.373","0.18%"
"Oct 16, 2018","73.465","73.810","73.960","73.465","-0.41%"
"Oct 15, 2018","73.770","73.802","74.070","73.770","0.11%"
"Oct 14, 2018","73.686","73.686","73.686","73.686","0.10%"
"Oct 12, 2018","73.610","73.830","73.860","73.530","-0.59%"
"Oct 11, 2018","74.050","74.380","74.490","74.005","-0.27%"
"Oct 10, 2018","74.250","74.160","74.293","74.060","-0.12%"
"Oct 09, 2018","74.340","73.910","74.405","73.880","0.37%"
"Oct 08, 2018","74.065","73.870","74.100","73.765","0.40%"
"Oct 07, 2018","73.771","73.771","73.771","73.771","0.00%"
"Oct 05, 2018","73.770","73.620","74.250","73.425","0.19%"
"Oct 04, 2018","73.630","73.710","73.825","73.500","0.39%"
"Oct 03, 2018","73.345","73.265","73.430","72.920","0.58%"
"Oct 02, 2018","72.925","72.925","72.925","72.925","0.00%"
"Oct 01, 2018","72.925","72.605","72.945","72.605","0.57%"
"Sep 30, 2018","72.515","72.515","72.515","72.515","0.01%"
"Sep 28, 2018","72.510","72.570","72.670","72.405","-0.08%"
"Sep 27, 2018","72.570","72.430","72.770","72.390","-0.04%"
"Sep 26, 2018","72.600","72.710","72.755","72.537","-0.12%"
"Sep 25, 2018","72.685","72.905","72.960","72.575","0.02%"
"Sep 24, 2018","72.670","72.480","72.740","72.340","0.60%"
"Sep 23, 2018","72.240","72.240","72.240","72.240","0.00%"
"Sep 21, 2018","72.240","71.860","72.480","71.760","0.31%"
"Sep 20, 2018","72.015","72.345","72.345","72.015","-0.48%"
"Sep 19, 2018","72.360","72.720","72.875","72.345","-0.48%"
"Sep 18, 2018","72.710","72.560","72.990","72.360","0.23%"
"Sep 17, 2018","72.540","72.530","72.695","72.315","0.60%"
"Sep 16, 2018","72.105","72.105","72.105","72.105","0.31%"
"Sep 14, 2018","71.880","71.700","71.995","71.535","-0.22%"
"Sep 13, 2018","72.037","72.037","72.037","72.037","-0.17%"
"Sep 12, 2018","72.160","72.843","72.920","71.925","-0.66%"
"Sep 11, 2018","72.640","72.310","72.750","72.250","0.26%"
"Sep 10, 2018","72.455","72.135","72.680","72.075","0.49%"
"Sep 09, 2018","72.105","72.105","72.105","72.105","0.44%"
"Sep 07, 2018","71.790","71.960","72.045","71.665","-0.22%"
"Sep 06, 2018","71.950","71.630","72.105","71.630","0.27%"
"Sep 05, 2018","71.755","71.405","71.955","71.375","0.24%"
"Sep 04, 2018","71.585","71.285","71.585","71.095","0.52%"
"Sep 03, 2018","71.215","70.790","71.220","70.725","0.30%"
"Sep 02, 2018","71.005","71.005","71.005","71.005","0.00%"
"Aug 31, 2018","71.005","70.955","71.025","70.855","0.37%"
"Aug 30, 2018","70.745","70.635","70.875","70.595","0.30%"
"Aug 29, 2018","70.535","70.325","70.635","70.240","0.62%"
"Aug 28, 2018","70.100","70.050","70.297","70.050","-0.09%"
"Aug 27, 2018","70.165","69.765","70.165","69.705","0.56%"
"Aug 26, 2018","69.775","69.775","69.775","69.775","-0.28%"
"Aug 24, 2018","69.970","70.220","70.240","69.897","-0.19%"
"Aug 23, 2018","70.105","70.015","70.170","69.968","0.34%"
"Aug 22, 2018","69.870","69.880","69.895","69.800","0.01%"
"Aug 21, 2018","69.860","69.665","69.920","69.535","0.06%"
"Aug 20, 2018","69.820","69.820","69.880","69.600","0.04%"
"Aug 19, 2018","69.795","69.795","69.795","69.795","-0.44%"
"Aug 17, 2018","70.100","70.130","70.160","70.080","0.01%"
"Aug 16, 2018","70.090","70.230","70.420","70.090","0.24%"
"Aug 15, 2018","69.920","69.920","69.920","69.920","-0.06%"
"Aug 14, 2018","69.960","69.860","70.090","69.700","-0.09%"
"Aug 13, 2018","70.020","69.485","70.020","69.405","1.34%"
"Aug 12, 2018","69.095","69.095","69.095","69.095","0.30%"
"Aug 10, 2018","68.890","68.845","69.025","68.767","0.19%"